"No.","Time","Source","Destination","Protocol","Length","Info"
"1033","15.953918","host","1.6.4","USBCOM","28","URB_BULK out"
"1035","15.957174","1.6.3","host","USBCOM","59","URB_BULK in"
"1039","15.961203","1.6.3","host","USBCOM","49","URB_BULK in"
"1043","16.155558","host","1.6.4","USBCOM","28","URB_BULK out"
"1045","16.157818","1.6.3","host","USBCOM","48","URB_BULK in"
"1049","16.161946","1.6.3","host","USBCOM","60","URB_BULK in"
"1053","16.356097","host","1.6.4","USBCOM","28","URB_BULK out"
"1055","16.358521","1.6.3","host","USBCOM","50","URB_BULK in"
"1059","16.362624","1.6.3","host","USBCOM","58","URB_BULK in"
"1063","16.557671","host","1.6.4","USBCOM","28","URB_BULK out"
"1065","16.559147","1.6.3","host","USBCOM","39","URB_BULK in"
"1069","16.563384","1.6.3","host","USBCOM","69","URB_BULK in"
"1099","16.764113","host","1.6.4","USBCOM","28","URB_BULK out"
"1101","16.768201","1.6.3","host","USBCOM","68","URB_BULK in"
"1107","16.772050","1.6.3","host","USBCOM","40","URB_BULK in"
"1147","16.960132","host","1.6.4","USBCOM","28","URB_BULK out"
"1149","16.964814","1.6.3","host","USBCOM","75","URB_BULK in"
"1153","16.968626","1.6.3","host","USBCOM","33","URB_BULK in"
"1179","17.160436","host","1.6.4","USBCOM","28","URB_BULK out"
"1181","17.161154","1.6.3","host","USBCOM","32","URB_BULK in"
"1185","17.165520","1.6.3","host","USBCOM","75","URB_BULK in"
"1191","17.169271","1.6.3","host","USBCOM","28","URB_BULK in"
"1239","17.362832","host","1.6.4","USBCOM","28","URB_BULK out"
"1241","17.366173","1.6.3","host","USBCOM","59","URB_BULK in"
"1247","17.370165","1.6.3","host","USBCOM","49","URB_BULK in"
"1269","17.564243","host","1.6.4","USBCOM","28","URB_BULK out"
"1271","17.566756","1.6.3","host","USBCOM","51","URB_BULK in"
"1275","17.570847","1.6.3","host","USBCOM","57","URB_BULK in"
"1295","17.777146","host","1.6.4","USBCOM","28","URB_BULK out"
"1297","17.779731","1.6.3","host","USBCOM","52","URB_BULK in"
"1301","17.783826","1.6.3","host","USBCOM","56","URB_BULK in"
"1309","17.980001","host","1.6.4","USBCOM","28","URB_BULK out"
"1311","17.984665","1.6.3","host","USBCOM","74","URB_BULK in"
"1315","17.988474","1.6.3","host","USBCOM","34","URB_BULK in"
"1321","18.187869","host","1.6.4","USBCOM","28","URB_BULK out"
"1323","18.189177","1.6.3","host","USBCOM","38","URB_BULK in"
"1327","18.193519","1.6.3","host","USBCOM","70","URB_BULK in"
"1333","18.389011","host","1.6.4","USBCOM","28","URB_BULK out"
"1335","18.389853","1.6.3","host","USBCOM","33","URB_BULK in"
"1339","18.394205","1.6.3","host","USBCOM","75","URB_BULK in"
"1345","18.596590","host","1.6.4","USBCOM","28","URB_BULK out"
"1347","18.598850","1.6.3","host","USBCOM","48","URB_BULK in"
"1351","18.602981","1.6.3","host","USBCOM","60","URB_BULK in"
"1367","18.796778","host","1.6.4","USBCOM","28","URB_BULK out"
"1369","18.799591","1.6.3","host","USBCOM","54","URB_BULK in"
"1373","18.803687","1.6.3","host","USBCOM","54","URB_BULK in"
"1397","18.999175","host","1.6.4","USBCOM","28","URB_BULK out"
"1399","19.000185","1.6.3","host","USBCOM","34","URB_BULK in"
"1405","19.004474","1.6.3","host","USBCOM","74","URB_BULK in"
"1415","19.201319","host","1.6.4","USBCOM","28","URB_BULK out"
"1417","19.205182","1.6.3","host","USBCOM","65","URB_BULK in"
"1421","19.209068","1.6.3","host","USBCOM","43","URB_BULK in"
"1425","19.403216","host","1.6.4","USBCOM","28","URB_BULK out"
"1427","19.405715","1.6.3","host","USBCOM","51","URB_BULK in"
"1431","19.409857","1.6.3","host","USBCOM","57","URB_BULK in"
"1475","19.603461","host","1.6.4","USBCOM","28","URB_BULK out"
"1477","19.606476","1.6.3","host","USBCOM","56","URB_BULK in"
"1483","19.610504","1.6.3","host","USBCOM","52","URB_BULK in"
"1529","19.804501","host","1.6.4","USBCOM","28","URB_BULK out"
"1531","19.807152","1.6.3","host","USBCOM","52","URB_BULK in"
"1537","19.811207","1.6.3","host","USBCOM","56","URB_BULK in"
"1589","20.005934","host","1.6.4","USBCOM","28","URB_BULK out"
"1591","20.007717","1.6.3","host","USBCOM","43","URB_BULK in"
"1597","20.011985","1.6.3","host","USBCOM","65","URB_BULK in"
"1643","20.207213","host","1.6.4","USBCOM","28","URB_BULK out"
"1647","20.208371","1.6.3","host","USBCOM","36","URB_BULK in"
"1651","20.212704","1.6.3","host","USBCOM","72","URB_BULK in"
"1699","20.409598","host","1.6.4","USBCOM","28","URB_BULK out"
"1701","20.413373","1.6.3","host","USBCOM","65","URB_BULK in"
"1707","20.417314","1.6.3","host","USBCOM","43","URB_BULK in"
"1721","20.609528","host","1.6.4","USBCOM","28","URB_BULK out"
"1723","20.614189","1.6.3","host","USBCOM","73","URB_BULK in"
"1727","20.618098","1.6.3","host","USBCOM","35","URB_BULK in"
"1759","20.810023","host","1.6.4","USBCOM","28","URB_BULK out"
"1761","20.810425","1.6.3","host","USBCOM","28","URB_BULK in"
"1765","20.814826","1.6.3","host","USBCOM","75","URB_BULK in"
"1769","20.818621","1.6.3","host","USBCOM","32","URB_BULK in"
