"No.","Time","Source","Destination","Protocol","Length","Info"
"6209","86.256334","1.6.3","host","USBCOM","32","URB_BULK in"
"6213","86.260734","1.6.3","host","USBCOM","75","URB_BULK in"
"6217","86.264554","1.6.3","host","USBCOM","37","URB_BULK in"
"6221","86.455975","host","1.6.4","USBCOM","28","URB_BULK out"
"6223","86.457013","1.6.3","host","USBCOM","34","URB_BULK in"
"6227","86.461416","1.6.3","host","USBCOM","75","URB_BULK in"
"6231","86.465334","1.6.3","host","USBCOM","35","URB_BULK in"
"6235","86.559736","1.6.3","host","USBCOM","73","URB_BULK in"
"6239","86.560088","host","1.6.4","USBCOM","50","URB_BULK out"
"6241","86.563838","1.6.3","host","USBCOM","75","URB_BULK in"
"6243","86.564113","host","1.6.4","USBCOM","51","URB_BULK out"
"6247","86.567732","1.6.3","host","USBCOM","50","URB_BULK in"
"6251","86.657265","host","1.6.4","USBCOM","28","URB_BULK out"
"6253","86.662122","1.6.3","host","USBCOM","75","URB_BULK in"
"6257","86.665975","1.6.3","host","USBCOM","42","URB_BULK in"
"6261","86.857669","host","1.6.4","USBCOM","28","URB_BULK out"
"6263","86.858306","1.6.3","host","USBCOM","30","URB_BULK in"
"6267","86.862709","1.6.3","host","USBCOM","75","URB_BULK in"
"6271","86.866540","1.6.3","host","USBCOM","39","URB_BULK in"
"6275","87.057887","host","1.6.4","USBCOM","28","URB_BULK out"
"6277","87.059158","1.6.3","host","USBCOM","35","URB_BULK in"
"6281","87.063487","1.6.3","host","USBCOM","76","URB_BULK in"
"6285","87.067320","1.6.3","host","USBCOM","31","URB_BULK in"
"6289","87.258106","host","1.6.4","USBCOM","28","URB_BULK out"
"6291","87.259783","1.6.3","host","USBCOM","42","URB_BULK in"
"6295","87.264363","1.6.3","host","USBCOM","73","URB_BULK in"
"6299","87.459735","host","1.6.4","USBCOM","28","URB_BULK out"
"6301","87.460432","1.6.3","host","USBCOM","31","URB_BULK in"
"6305","87.464873","1.6.3","host","USBCOM","75","URB_BULK in"
"6309","87.468703","1.6.3","host","USBCOM","36","URB_BULK in"
"6313","87.660879","host","1.6.4","USBCOM","28","URB_BULK out"
"6315","87.665583","1.6.3","host","USBCOM","73","URB_BULK in"
"6319","87.669447","1.6.3","host","USBCOM","42","URB_BULK in"
"6323","87.862851","host","1.6.4","USBCOM","28","URB_BULK out"
"6325","87.866168","1.6.3","host","USBCOM","58","URB_BULK in"
"6329","87.870279","1.6.3","host","USBCOM","57","URB_BULK in"
"6333","88.064738","host","1.6.4","USBCOM","28","URB_BULK out"
"6335","88.066769","1.6.3","host","USBCOM","44","URB_BULK in"
"6339","88.071001","1.6.3","host","USBCOM","71","URB_BULK in"
"6343","88.266334","host","1.6.4","USBCOM","28","URB_BULK out"
"6345","88.267344","1.6.3","host","USBCOM","34","URB_BULK in"
"6349","88.271684","1.6.3","host","USBCOM","75","URB_BULK in"
"6353","88.275548","1.6.3","host","USBCOM","33","URB_BULK in"
"6357","88.467243","host","1.6.4","USBCOM","28","URB_BULK out"
"6359","88.467947","1.6.3","host","USBCOM","32","URB_BULK in"
"6363","88.472324","1.6.3","host","USBCOM","75","URB_BULK in"
"6367","88.476134","1.6.3","host","USBCOM","35","URB_BULK in"
"6371","88.669149","host","1.6.4","USBCOM","28","URB_BULK out"
"6373","88.673096","1.6.3","host","USBCOM","65","URB_BULK in"
"6377","88.677052","1.6.3","host","USBCOM","50","URB_BULK in"
"6381","88.869891","host","1.6.4","USBCOM","28","URB_BULK out"
"6383","88.873749","1.6.3","host","USBCOM","64","URB_BULK in"
"6387","88.877765","1.6.3","host","USBCOM","51","URB_BULK in"
"6391","89.071111","host","1.6.4","USBCOM","28","URB_BULK out"
"6393","89.074394","1.6.3","host","USBCOM","58","URB_BULK in"
"6397","89.078490","1.6.3","host","USBCOM","57","URB_BULK in"
"6401","89.273107","host","1.6.4","USBCOM","28","URB_BULK out"
"6403","89.274887","1.6.3","host","USBCOM","43","URB_BULK in"
"6407","89.279265","1.6.3","host","USBCOM","72","URB_BULK in"
"6411","89.474731","host","1.6.4","USBCOM","28","URB_BULK out"
"6413","89.475602","1.6.3","host","USBCOM","32","URB_BULK in"
"6417","89.480001","1.6.3","host","USBCOM","75","URB_BULK in"
"6421","89.483789","1.6.3","host","USBCOM","35","URB_BULK in"
"6425","89.675593","host","1.6.4","USBCOM","28","URB_BULK out"
"6427","89.676255","1.6.3","host","USBCOM","30","URB_BULK in"
"6431","89.680663","1.6.3","host","USBCOM","75","URB_BULK in"
"6435","89.684511","1.6.3","host","USBCOM","37","URB_BULK in"
"6439","89.877246","host","1.6.4","USBCOM","28","URB_BULK out"
"6441","89.881302","1.6.3","host","USBCOM","66","URB_BULK in"
"6445","89.885293","1.6.3","host","USBCOM","49","URB_BULK in"
"6449","90.079387","host","1.6.4","USBCOM","28","URB_BULK out"
"6451","90.081828","1.6.3","host","USBCOM","49","URB_BULK in"
"6455","90.086107","1.6.3","host","USBCOM","66","URB_BULK in"
"6459","90.281194","host","1.6.4","USBCOM","28","URB_BULK out"
"6461","90.282425","1.6.3","host","USBCOM","36","URB_BULK in"
"6465","90.286826","1.6.3","host","USBCOM","76","URB_BULK in"
"6469","90.290637","1.6.3","host","USBCOM","30","URB_BULK in"
"6473","90.482098","host","1.6.4","USBCOM","28","URB_BULK out"
"6475","90.483129","1.6.3","host","USBCOM","34","URB_BULK in"
"6479","90.487517","1.6.3","host","USBCOM","75","URB_BULK in"
"6483","90.491362","1.6.3","host","USBCOM","33","URB_BULK in"
"6487","90.682450","host","1.6.4","USBCOM","28","URB_BULK out"
"6489","90.683875","1.6.3","host","USBCOM","38","URB_BULK in"
"6493","90.688181","1.6.3","host","USBCOM","75","URB_BULK in"
"6501","90.882744","host","1.6.4","USBCOM","28","URB_BULK out"
"6503","90.884632","1.6.3","host","USBCOM","42","URB_BULK in"
"6507","90.888939","1.6.3","host","USBCOM","73","URB_BULK in"
"6511","91.084563","host","1.6.4","USBCOM","28","URB_BULK out"
"6513","91.085235","1.6.3","host","USBCOM","29","URB_BULK in"
"6517","91.089622","1.6.3","host","USBCOM","75","URB_BULK in"
"6521","91.093463","1.6.3","host","USBCOM","38","URB_BULK in"
"6525","91.284919","host","1.6.4","USBCOM","28","URB_BULK out"
"6527","91.286004","1.6.3","host","USBCOM","33","URB_BULK in"
"6531","91.290377","1.6.3","host","USBCOM","76","URB_BULK in"
"6535","91.294112","1.6.3","host","USBCOM","33","URB_BULK in"
"6539","91.485689","host","1.6.4","USBCOM","28","URB_BULK out"
"6541","91.486551","1.6.3","host","USBCOM","32","URB_BULK in"
"6545","91.491009","1.6.3","host","USBCOM","76","URB_BULK in"
"6549","91.494816","1.6.3","host","USBCOM","34","URB_BULK in"
"6553","91.686214","host","1.6.4","USBCOM","28","URB_BULK out"
"6555","91.687249","1.6.3","host","USBCOM","34","URB_BULK in"
"6559","91.691606","1.6.3","host","USBCOM","75","URB_BULK in"
"6563","91.695392","1.6.3","host","USBCOM","33","URB_BULK in"
"6567","91.886612","host","1.6.4","USBCOM","28","URB_BULK out"
"6569","91.888010","1.6.3","host","USBCOM","38","URB_BULK in"
"6573","91.892352","1.6.3","host","USBCOM","75","URB_BULK in"
"6581","92.087791","host","1.6.4","USBCOM","28","URB_BULK out"
"6583","92.088663","1.6.3","host","USBCOM","32","URB_BULK in"
"6587","92.093087","1.6.3","host","USBCOM","75","URB_BULK in"
"6591","92.096898","1.6.3","host","USBCOM","35","URB_BULK in"
"6595","92.289887","host","1.6.4","USBCOM","28","URB_BULK out"
"6597","92.293698","1.6.3","host","USBCOM","63","URB_BULK in"
"6601","92.297687","1.6.3","host","USBCOM","52","URB_BULK in"
"6605","92.491457","host","1.6.4","USBCOM","28","URB_BULK out"
"6607","92.494296","1.6.3","host","USBCOM","53","URB_BULK in"
"6611","92.498473","1.6.3","host","USBCOM","62","URB_BULK in"
"6615","92.691494","host","1.6.4","USBCOM","28","URB_BULK out"
"6617","92.694950","1.6.3","host","USBCOM","61","URB_BULK in"
"6621","92.698983","1.6.3","host","USBCOM","54","URB_BULK in"
"6625","92.892389","host","1.6.4","USBCOM","28","URB_BULK out"
"6627","92.895744","1.6.3","host","USBCOM","59","URB_BULK in"
"6631","92.899776","1.6.3","host","USBCOM","56","URB_BULK in"
"6635","93.092696","host","1.6.4","USBCOM","28","URB_BULK out"
"6637","93.096477","1.6.3","host","USBCOM","63","URB_BULK in"
"6641","93.100558","1.6.3","host","USBCOM","52","URB_BULK in"
"6645","93.293835","host","1.6.4","USBCOM","28","URB_BULK out"
"6647","93.297093","1.6.3","host","USBCOM","58","URB_BULK in"
"6651","93.301176","1.6.3","host","USBCOM","57","URB_BULK in"
"6655","93.494571","host","1.6.4","USBCOM","28","URB_BULK out"
"6657","93.497786","1.6.3","host","USBCOM","57","URB_BULK in"
"6661","93.501899","1.6.3","host","USBCOM","58","URB_BULK in"
"6665","93.710032","host","1.6.4","USBCOM","28","URB_BULK out"
"6667","93.710522","1.6.3","host","USBCOM","28","URB_BULK in"
"6671","93.714931","1.6.3","host","USBCOM","75","URB_BULK in"
"6675","93.718797","1.6.3","host","USBCOM","39","URB_BULK in"
"6679","93.896933","host","1.6.4","USBCOM","28","URB_BULK out"
"6681","93.899073","1.6.3","host","USBCOM","45","URB_BULK in"
"6685","93.903369","1.6.3","host","USBCOM","70","URB_BULK in"
"6689","94.097368","host","1.6.4","USBCOM","28","URB_BULK out"
"6691","94.099839","1.6.3","host","USBCOM","48","URB_BULK in"
"6695","94.104052","1.6.3","host","USBCOM","67","URB_BULK in"
"6699","94.299497","host","1.6.4","USBCOM","28","URB_BULK out"
"6701","94.300306","1.6.3","host","USBCOM","32","URB_BULK in"
"6705","94.304784","1.6.3","host","USBCOM","75","URB_BULK in"
"6709","94.308575","1.6.3","host","USBCOM","35","URB_BULK in"
"6713","94.500027","host","1.6.4","USBCOM","28","URB_BULK out"
"6715","94.501049","1.6.3","host","USBCOM","34","URB_BULK in"
"6717","94.505449","1.6.3","host","USBCOM","75","URB_BULK in"
"6721","94.509246","1.6.3","host","USBCOM","33","URB_BULK in"
"6725","94.709435","host","1.6.4","USBCOM","28","URB_BULK out"
"6727","94.709841","1.6.3","host","USBCOM","28","URB_BULK in"
"6731","94.714337","1.6.3","host","USBCOM","75","URB_BULK in"
"6735","94.718247","1.6.3","host","USBCOM","39","URB_BULK in"
"6739","94.904235","host","1.6.4","USBCOM","28","URB_BULK out"
"6741","94.906691","1.6.3","host","USBCOM","49","URB_BULK in"
"6745","94.910858","1.6.3","host","USBCOM","66","URB_BULK in"
"6749","95.104832","host","1.6.4","USBCOM","28","URB_BULK out"
"6751","95.107382","1.6.3","host","USBCOM","50","URB_BULK in"
"6755","95.111569","1.6.3","host","USBCOM","65","URB_BULK in"
"6759","95.305096","host","1.6.4","USBCOM","28","URB_BULK out"
"6761","95.308096","1.6.3","host","USBCOM","55","URB_BULK in"
"6765","95.312276","1.6.3","host","USBCOM","60","URB_BULK in"
"6769","95.506346","host","1.6.4","USBCOM","28","URB_BULK out"
"6771","95.508719","1.6.3","host","USBCOM","48","URB_BULK in"
"6775","95.512925","1.6.3","host","USBCOM","67","URB_BULK in"
"6779","95.709933","host","1.6.4","USBCOM","28","URB_BULK out"
"6781","95.713625","1.6.3","host","USBCOM","63","URB_BULK in"
"6785","95.717626","1.6.3","host","USBCOM","52","URB_BULK in"
"6789","95.906716","host","1.6.4","USBCOM","28","URB_BULK out"
"6791","95.910279","1.6.3","host","USBCOM","60","URB_BULK in"
"6795","95.914267","1.6.3","host","USBCOM","55","URB_BULK in"
"6799","96.107038","host","1.6.4","USBCOM","28","URB_BULK out"
"6801","96.110919","1.6.3","host","USBCOM","64","URB_BULK in"
"6805","96.114998","1.6.3","host","USBCOM","51","URB_BULK in"
"6809","96.309359","host","1.6.4","USBCOM","28","URB_BULK out"
"6811","96.311523","1.6.3","host","USBCOM","45","URB_BULK in"
"6815","96.315825","1.6.3","host","USBCOM","70","URB_BULK in"
"6819","96.510799","host","1.6.4","USBCOM","28","URB_BULK out"
"6821","96.512081","1.6.3","host","USBCOM","36","URB_BULK in"
"6825","96.516463","1.6.3","host","USBCOM","75","URB_BULK in"
"6829","96.520250","1.6.3","host","USBCOM","31","URB_BULK in"
"6833","96.711521","host","1.6.4","USBCOM","28","URB_BULK out"
"6835","96.712801","1.6.3","host","USBCOM","36","URB_BULK in"
"6839","96.717175","1.6.3","host","USBCOM","76","URB_BULK in"
"6843","96.720947","1.6.3","host","USBCOM","30","URB_BULK in"
"6847","96.913315","host","1.6.4","USBCOM","28","URB_BULK out"
"6849","96.917834","1.6.3","host","USBCOM","71","URB_BULK in"
"6853","96.921713","1.6.3","host","USBCOM","44","URB_BULK in"
"6857","97.114369","host","1.6.4","USBCOM","28","URB_BULK out"
"6859","97.118496","1.6.3","host","USBCOM","67","URB_BULK in"
"6863","97.122448","1.6.3","host","USBCOM","46","URB_BULK in"
"6867","97.315393","host","1.6.4","USBCOM","28","URB_BULK out"
"6869","97.319188","1.6.3","host","USBCOM","63","URB_BULK in"
"6873","97.323186","1.6.3","host","USBCOM","50","URB_BULK in"
"6877","97.515892","host","1.6.4","USBCOM","28","URB_BULK out"
"6879","97.519881","1.6.3","host","USBCOM","65","URB_BULK in"
"6883","97.523886","1.6.3","host","USBCOM","48","URB_BULK in"
"6887","97.716738","host","1.6.4","USBCOM","28","URB_BULK out"
"6889","97.720452","1.6.3","host","USBCOM","64","URB_BULK in"
"6893","97.724414","1.6.3","host","USBCOM","49","URB_BULK in"
"6897","97.918756","host","1.6.4","USBCOM","28","URB_BULK out"
"6899","97.921146","1.6.3","host","USBCOM","48","URB_BULK in"
"6903","97.925312","1.6.3","host","USBCOM","65","URB_BULK in"
"6907","98.119807","host","1.6.4","USBCOM","28","URB_BULK out"
"6909","98.121778","1.6.3","host","USBCOM","44","URB_BULK in"
"6913","98.126045","1.6.3","host","USBCOM","69","URB_BULK in"
"6917","98.321792","host","1.6.4","USBCOM","28","URB_BULK out"
"6919","98.322362","1.6.3","host","USBCOM","29","URB_BULK in"
"6923","98.326790","1.6.3","host","USBCOM","75","URB_BULK in"
"6927","98.330639","1.6.3","host","USBCOM","36","URB_BULK in"
"6931","98.523627","host","1.6.4","USBCOM","28","URB_BULK out"
"6933","98.527380","1.6.3","host","USBCOM","63","URB_BULK in"
"6937","98.531393","1.6.3","host","USBCOM","50","URB_BULK in"
"6941","98.724593","host","1.6.4","USBCOM","28","URB_BULK out"
"6943","98.728062","1.6.3","host","USBCOM","59","URB_BULK in"
"6947","98.732116","1.6.3","host","USBCOM","54","URB_BULK in"
"6951","98.925545","host","1.6.4","USBCOM","28","URB_BULK out"
"6953","98.928736","1.6.3","host","USBCOM","57","URB_BULK in"
"6957","98.932836","1.6.3","host","USBCOM","56","URB_BULK in"
"6961","99.126199","host","1.6.4","USBCOM","28","URB_BULK out"
"6963","99.129492","1.6.3","host","USBCOM","57","URB_BULK in"
"6967","99.133608","1.6.3","host","USBCOM","56","URB_BULK in"
"6971","99.327003","host","1.6.4","USBCOM","28","URB_BULK out"
"6973","99.330133","1.6.3","host","USBCOM","56","URB_BULK in"
"6977","99.334255","1.6.3","host","USBCOM","57","URB_BULK in"
"6981","99.527461","host","1.6.4","USBCOM","28","URB_BULK out"
"6983","99.530839","1.6.3","host","USBCOM","59","URB_BULK in"
"6987","99.534885","1.6.3","host","USBCOM","54","URB_BULK in"
"6991","99.727731","host","1.6.4","USBCOM","28","URB_BULK out"
"6993","99.731552","1.6.3","host","USBCOM","64","URB_BULK in"
"6997","99.735543","1.6.3","host","USBCOM","49","URB_BULK in"
"7001","99.928473","host","1.6.4","USBCOM","28","URB_BULK out"
"7003","99.932281","1.6.3","host","USBCOM","64","URB_BULK in"
"7007","99.936259","1.6.3","host","USBCOM","49","URB_BULK in"
"7011","100.130299","host","1.6.4","USBCOM","28","URB_BULK out"
"7013","100.132827","1.6.3","host","USBCOM","49","URB_BULK in"
"7017","100.137035","1.6.3","host","USBCOM","64","URB_BULK in"
"7021","100.331479","host","1.6.4","USBCOM","28","URB_BULK out"
"7023","100.333352","1.6.3","host","USBCOM","44","URB_BULK in"
"7027","100.337623","1.6.3","host","USBCOM","69","URB_BULK in"
"7031","100.531778","host","1.6.4","USBCOM","28","URB_BULK out"
"7033","100.534258","1.6.3","host","USBCOM","49","URB_BULK in"
"7037","100.538402","1.6.3","host","USBCOM","64","URB_BULK in"
"7041","100.733699","host","1.6.4","USBCOM","28","URB_BULK out"
"7043","100.734773","1.6.3","host","USBCOM","34","URB_BULK in"
"7047","100.739076","1.6.3","host","USBCOM","75","URB_BULK in"
"7051","100.742979","1.6.3","host","USBCOM","31","URB_BULK in"
"7055","100.934323","host","1.6.4","USBCOM","28","URB_BULK out"
"7057","100.935382","1.6.3","host","USBCOM","36","URB_BULK in"
"7061","100.939757","1.6.3","host","USBCOM","75","URB_BULK in"
"7069","101.134527","host","1.6.4","USBCOM","28","URB_BULK out"
"7071","101.136138","1.6.3","host","USBCOM","41","URB_BULK in"
"7075","101.140412","1.6.3","host","USBCOM","72","URB_BULK in"
"7079","101.335277","host","1.6.4","USBCOM","28","URB_BULK out"
"7081","101.336792","1.6.3","host","USBCOM","41","URB_BULK in"
"7085","101.341153","1.6.3","host","USBCOM","72","URB_BULK in"
"7089","101.536725","host","1.6.4","USBCOM","28","URB_BULK out"
"7091","101.537426","1.6.3","host","USBCOM","32","URB_BULK in"
"7095","101.541811","1.6.3","host","USBCOM","75","URB_BULK in"
"7099","101.545654","1.6.3","host","USBCOM","33","URB_BULK in"
"7103","101.737123","host","1.6.4","USBCOM","28","URB_BULK out"
"7105","101.738143","1.6.3","host","USBCOM","35","URB_BULK in"
"7109","101.742535","1.6.3","host","USBCOM","76","URB_BULK in"
"7117","101.937418","host","1.6.4","USBCOM","28","URB_BULK out"
"7119","101.939117","1.6.3","host","USBCOM","40","URB_BULK in"
"7123","101.943153","1.6.3","host","USBCOM","73","URB_BULK in"
"7127","102.138836","host","1.6.4","USBCOM","28","URB_BULK out"
"7129","102.139564","1.6.3","host","USBCOM","31","URB_BULK in"
"7133","102.143982","1.6.3","host","USBCOM","75","URB_BULK in"
"7137","102.147877","1.6.3","host","USBCOM","34","URB_BULK in"
"7141","102.339684","host","1.6.4","USBCOM","28","URB_BULK out"
"7143","102.340254","1.6.3","host","USBCOM","29","URB_BULK in"
"7147","102.344691","1.6.3","host","USBCOM","76","URB_BULK in"
"7151","102.348538","1.6.3","host","USBCOM","35","URB_BULK in"
"7155","102.541288","host","1.6.4","USBCOM","28","URB_BULK out"
"7157","102.545260","1.6.3","host","USBCOM","67","URB_BULK in"
"7161","102.549176","1.6.3","host","USBCOM","46","URB_BULK in"
"7165","102.743031","host","1.6.4","USBCOM","28","URB_BULK out"
"7167","102.745997","1.6.3","host","USBCOM","54","URB_BULK in"
"7171","102.750074","1.6.3","host","USBCOM","59","URB_BULK in"
"7175","102.942974","host","1.6.4","USBCOM","28","URB_BULK out"
"7177","102.946722","1.6.3","host","USBCOM","63","URB_BULK in"
"7181","102.950682","1.6.3","host","USBCOM","50","URB_BULK in"
"7185","103.145143","host","1.6.4","USBCOM","28","URB_BULK out"
"7187","103.147242","1.6.3","host","USBCOM","46","URB_BULK in"
"7191","103.151466","1.6.3","host","USBCOM","67","URB_BULK in"
"7195","103.346311","host","1.6.4","USBCOM","28","URB_BULK out"
"7197","103.347928","1.6.3","host","USBCOM","40","URB_BULK in"
"7201","103.352258","1.6.3","host","USBCOM","73","URB_BULK in"
"7205","103.548452","host","1.6.4","USBCOM","28","URB_BULK out"
"7207","103.552913","1.6.3","host","USBCOM","71","URB_BULK in"
"7211","103.556771","1.6.3","host","USBCOM","42","URB_BULK in"
"7215","103.749477","host","1.6.4","USBCOM","28","URB_BULK out"
"7217","103.753479","1.6.3","host","USBCOM","67","URB_BULK in"
"7221","103.757505","1.6.3","host","USBCOM","46","URB_BULK in"
"7225","103.951130","host","1.6.4","USBCOM","28","URB_BULK out"
"7227","103.954262","1.6.3","host","USBCOM","56","URB_BULK in"
"7231","103.958287","1.6.3","host","USBCOM","57","URB_BULK in"
"7235","104.152312","host","1.6.4","USBCOM","28","URB_BULK out"
"7237","104.154834","1.6.3","host","USBCOM","49","URB_BULK in"
"7241","104.159048","1.6.3","host","USBCOM","64","URB_BULK in"
"7245","104.353171","host","1.6.4","USBCOM","28","URB_BULK out"
"7247","104.355557","1.6.3","host","USBCOM","48","URB_BULK in"
"7251","104.359701","1.6.3","host","USBCOM","65","URB_BULK in"
"7255","104.555400","host","1.6.4","USBCOM","28","URB_BULK out"
"7257","104.556097","1.6.3","host","USBCOM","30","URB_BULK in"
"7261","104.560496","1.6.3","host","USBCOM","75","URB_BULK in"
"7265","104.564222","1.6.3","host","USBCOM","35","URB_BULK in"
"7269","104.756108","host","1.6.4","USBCOM","28","URB_BULK out"
"7271","104.756709","1.6.3","host","USBCOM","30","URB_BULK in"
"7275","104.761164","1.6.3","host","USBCOM","75","URB_BULK in"
"7279","104.765028","1.6.3","host","USBCOM","35","URB_BULK in"
"7283","104.956719","host","1.6.4","USBCOM","28","URB_BULK out"
"7285","104.957408","1.6.3","host","USBCOM","30","URB_BULK in"
"7289","104.961855","1.6.3","host","USBCOM","76","URB_BULK in"
"7293","104.965575","1.6.3","host","USBCOM","34","URB_BULK in"
"7297","105.157827","host","1.6.4","USBCOM","28","URB_BULK out"
"7299","105.162575","1.6.3","host","USBCOM","74","URB_BULK in"
"7303","105.166425","1.6.3","host","USBCOM","39","URB_BULK in"
"7307","105.359021","host","1.6.4","USBCOM","28","URB_BULK out"
"7309","105.363273","1.6.3","host","USBCOM","68","URB_BULK in"
"7313","105.367149","1.6.3","host","USBCOM","45","URB_BULK in"
"7317","105.560271","host","1.6.4","USBCOM","28","URB_BULK out"
"7319","105.563865","1.6.3","host","USBCOM","62","URB_BULK in"
"7323","105.567818","1.6.3","host","USBCOM","51","URB_BULK in"
"7327","105.760701","host","1.6.4","USBCOM","28","URB_BULK out"
"7329","105.764558","1.6.3","host","USBCOM","64","URB_BULK in"
"7333","105.768546","1.6.3","host","USBCOM","49","URB_BULK in"
"7337","105.961555","host","1.6.4","USBCOM","28","URB_BULK out"
"7339","105.965276","1.6.3","host","USBCOM","63","URB_BULK in"
"7343","105.969248","1.6.3","host","USBCOM","50","URB_BULK in"
"7347","106.162980","host","1.6.4","USBCOM","28","URB_BULK out"
"7349","106.165847","1.6.3","host","USBCOM","53","URB_BULK in"
"7353","106.170037","1.6.3","host","USBCOM","60","URB_BULK in"
"7357","106.364728","host","1.6.4","USBCOM","28","URB_BULK out"
"7359","106.366500","1.6.3","host","USBCOM","42","URB_BULK in"
"7363","106.370762","1.6.3","host","USBCOM","71","URB_BULK in"
"7367","106.565583","host","1.6.4","USBCOM","28","URB_BULK out"
"7369","106.567126","1.6.3","host","USBCOM","40","URB_BULK in"
"7373","106.571474","1.6.3","host","USBCOM","73","URB_BULK in"
"7377","106.767586","host","1.6.4","USBCOM","28","URB_BULK out"
"7379","106.772169","1.6.3","host","USBCOM","72","URB_BULK in"
"7383","106.776057","1.6.3","host","USBCOM","41","URB_BULK in"
"7387","106.978110","host","1.6.4","USBCOM","28","URB_BULK out"
"7389","106.980962","1.6.3","host","USBCOM","53","URB_BULK in"
"7393","106.985048","1.6.3","host","USBCOM","60","URB_BULK in"
"7397","107.168402","host","1.6.4","USBCOM","28","URB_BULK out"
"7399","107.169225","1.6.3","host","USBCOM","30","URB_BULK in"
"7403","107.173554","1.6.3","host","USBCOM","76","URB_BULK in"
"7407","107.177361","1.6.3","host","USBCOM","34","URB_BULK in"
"7411","107.369776","host","1.6.4","USBCOM","28","URB_BULK out"
"7413","107.374261","1.6.3","host","USBCOM","71","URB_BULK in"
"7417","107.378143","1.6.3","host","USBCOM","42","URB_BULK in"
"7421","107.570987","host","1.6.4","USBCOM","28","URB_BULK out"
"7423","107.574913","1.6.3","host","USBCOM","64","URB_BULK in"
"7427","107.578896","1.6.3","host","USBCOM","49","URB_BULK in"
"7431","107.771328","host","1.6.4","USBCOM","28","URB_BULK out"
"7433","107.775616","1.6.3","host","USBCOM","69","URB_BULK in"
"7437","107.779454","1.6.3","host","USBCOM","44","URB_BULK in"
"7441","107.980918","host","1.6.4","USBCOM","28","URB_BULK out"
"7443","107.984447","1.6.3","host","USBCOM","61","URB_BULK in"
"7447","107.988459","1.6.3","host","USBCOM","52","URB_BULK in"
"7451","108.174673","host","1.6.4","USBCOM","28","URB_BULK out"
"7453","108.176756","1.6.3","host","USBCOM","46","URB_BULK in"
"7457","108.180984","1.6.3","host","USBCOM","67","URB_BULK in"
"7461","108.375821","host","1.6.4","USBCOM","28","URB_BULK out"
"7463","108.377392","1.6.3","host","USBCOM","41","URB_BULK in"
"7467","108.381683","1.6.3","host","USBCOM","72","URB_BULK in"
"7471","108.406067","1.6.3","host","USBCOM","37","URB_BULK in"
"7475","108.406287","host","1.6.4","USBCOM","51","URB_BULK out"
"7477","108.406488","host","1.6.4","USBCOM","33","URB_BULK out"
"7479","108.410421","1.6.3","host","USBCOM","76","URB_BULK in"
"7483","108.414461","1.6.3","host","USBCOM","75","URB_BULK in"
"7487","108.414654","host","1.6.4","USBCOM","28","URB_BULK out"
"7489","108.414721","host","1.6.4","USBCOM","28","URB_BULK out"
"7491","108.414823","host","1.6.4","USBCOM","28","URB_BULK out"
"7493","108.414976","host","1.6.4","USBCOM","28","URB_BULK out"
"7495","108.415136","host","1.6.4","USBCOM","28","URB_BULK out"
"7497","108.415288","host","1.6.4","USBCOM","30","URB_BULK out"
"7499","108.415365","host","1.6.4","USBCOM","45","URB_BULK out"
"7501","108.418585","1.6.3","host","USBCOM","75","URB_BULK in"
"7503","108.418666","host","1.6.4","USBCOM","30","URB_BULK out"
"7505","108.418788","host","1.6.4","USBCOM","28","URB_BULK out"
"7509","108.419018","host","1.6.4","USBCOM","28","URB_BULK out"
"7511","108.422668","1.6.3","host","USBCOM","75","URB_BULK in"
"7515","108.426750","1.6.3","host","USBCOM","75","URB_BULK in"
"7519","108.430885","1.6.3","host","USBCOM","76","URB_BULK in"
"7523","108.434700","1.6.3","host","USBCOM","37","URB_BULK in"
"7527","108.577756","host","1.6.4","USBCOM","28","URB_BULK out"
"7529","108.582427","1.6.3","host","USBCOM","74","URB_BULK in"
"7533","108.586363","1.6.3","host","USBCOM","39","URB_BULK in"
"7537","108.778049","host","1.6.4","USBCOM","28","URB_BULK out"
"7539","108.778696","1.6.3","host","USBCOM","31","URB_BULK in"
"7543","108.783086","1.6.3","host","USBCOM","75","URB_BULK in"
"7547","108.786915","1.6.3","host","USBCOM","34","URB_BULK in"
"7551","108.979746","host","1.6.4","USBCOM","28","URB_BULK out"
"7553","108.983841","1.6.3","host","USBCOM","67","URB_BULK in"
"7557","108.987778","1.6.3","host","USBCOM","46","URB_BULK in"
"7561","109.180595","host","1.6.4","USBCOM","28","URB_BULK out"
"7563","109.184533","1.6.3","host","USBCOM","65","URB_BULK in"
"7567","109.188538","1.6.3","host","USBCOM","50","URB_BULK in"
"7571","109.382954","host","1.6.4","USBCOM","28","URB_BULK out"
"7573","109.385151","1.6.3","host","USBCOM","45","URB_BULK in"
"7577","109.389379","1.6.3","host","USBCOM","70","URB_BULK in"
"7581","109.583903","host","1.6.4","USBCOM","28","URB_BULK out"
"7583","109.585844","1.6.3","host","USBCOM","42","URB_BULK in"
"7587","109.590121","1.6.3","host","USBCOM","73","URB_BULK in"
"7591","109.784517","host","1.6.4","USBCOM","28","URB_BULK out"
"7593","109.786511","1.6.3","host","USBCOM","43","URB_BULK in"
"7597","109.790712","1.6.3","host","USBCOM","72","URB_BULK in"
"7601","109.987281","host","1.6.4","USBCOM","28","URB_BULK out"
